Round,Random avg,Random std dev,FIREWithoutRecency avg,FIREWithoutRecency std dev,Mitigating avg,Mitigating std dev,MitigatingWithRecency avg,MitigatingWithRecency std dev,FIRE avg,FIRE std dev
82,539.9708333333333,232.56314871957062,1735.7183333333335,385.05040971929884,1850.9858333333334,419.4719132606895,1849.6933333333332,428.07072119504323,1834.9350000000004,411.4558466726548
83,545.1741666666667,235.59791882245528,1754.0300000000002,389.7473025742306,1871.3666666666668,426.1477820577948,1870.4483333333335,435.1844569451746,1854.0666666666666,417.86130141737493
84,551.9424999999999,238.34791620450093,1772.3533333333332,394.7374902352476,1891.7225,432.99481670380436,1890.3491666666666,441.52318651286276,1873.8566666666663,424.7183243993078
85,558.2358333333333,241.71702673701608,1791.8325,400.8725966121696,1912.3516666666665,438.90701734219545,1910.6666666666663,448.02241418383414,1894.5916666666665,430.8541614082169
86,564.9316666666666,244.3951206209595,1811.055833333333,405.31658850503646,1934.2875000000006,445.4474047119182,1932.6908333333333,453.15390437236283,1914.6833333333332,436.9991164496536
87,571.2158333333332,247.66123405465024,1830.1633333333334,411.47783749890806,1956.454166666667,451.76482514642873,1953.5299999999995,459.8266870094764,1936.0441666666666,443.3903753567818
88,576.9933333333335,249.66597064878505,1849.3283333333331,417.6700780187901,1978.4958333333334,458.1746970353909,1975.496666666667,467.22119752794225,1957.1283333333338,449.8829714214576
89,583.6633333333333,252.46946292791748,1871.3699999999994,422.85957698744386,2000.015,464.7368561556576,1998.0141666666666,473.5401584966451,1978.8124999999993,455.66357634665934
90,590.0458333333333,255.8893413516106,1891.7058333333334,429.31556684011576,2022.3633333333332,470.2439454864535,2020.2941666666668,481.2611724828664,2001.7291666666663,462.84179234332686
91,597.355,258.3926484646101,1912.9991666666663,435.66844733839736,2045.466666666667,476.7342040586604,2043.586666666666,487.941169669391,2023.9866666666671,469.5099768523444
92,604.4491666666669,260.7550929365736,1934.5783333333331,442.6356634976444,2069.024166666667,482.5840855840853,2067.1325,494.7373442243257,2047.4258333333337,476.587744725897
93,610.0758333333333,263.88735782026606,1956.6733333333336,449.32250584753825,2092.9983333333334,489.56292552927033,2092.4058333333332,502.05428552279636,2071.285,482.6538214335866
94,616.9258333333333,266.2443934321018,1979.0358333333331,456.48711441364304,2117.9841666666666,497.95002153900396,2117.249166666667,509.53107469093044,2097.1941666666667,490.2162126162348
95,622.7933333333334,269.4297015817753,2001.6508333333331,462.93844809917454,2142.7541666666675,504.86671565168234,2142.26,516.1430730373551,2121.203333333333,498.20837289453726
96,629.2141666666666,271.67990931552976,2024.9916666666659,469.32991801550895,2168.853333333333,512.0447994208016,2167.0308333333332,523.241785968999,2146.1191666666664,504.2834846075338
97,635.9341666666668,274.49232281436906,2049.0225000000005,476.2306188977084,2194.903333333333,518.5156263342291,2193.3216666666667,529.9419919146287,2172.5141666666664,511.25734867103756
98,642.4524999999999,277.14796113593474,2072.4175,482.8713965328484,2221.3116666666665,525.2005254106917,2218.0716666666667,537.3040055478627,2198.106666666666,518.5298841677305
99,648.5558333333335,279.91338238745095,2097.0533333333324,488.6351230468394,2246.7200000000003,531.6325633680966,2245.155,544.0534308574643,2223.665833333334,524.3715039275589
100,654.0500000000002,282.9058649140696,2120.754166666666,494.4281913546697,2273.2225000000008,538.4611972511474,2271.4266666666667,551.1905310930755,2249.034166666667,529.9826707524659
101,660.8299999999998,284.9048386255001,2145.656666666667,500.8542792735893,2299.3216666666667,544.6818092575803,2298.4141666666665,557.4781657663822,2274.5058333333327,536.8986132441322
102,666.9258333333332,288.20745220457087,2170.555,506.2416944750797,2326.8916666666664,551.3638796455367,2325.8625,563.8163558047218,2301.1574999999993,543.9521374784377
103,673.3416666666667,290.9193745696564,2196.758333333333,511.88005376693906,2354.109166666667,557.2127446228586,2352.615,570.0204283961135,2327.6416666666664,549.7343737357768
104,679.2233333333335,294.20781095171486,2221.5975000000003,517.8956406706802,2382.089166666666,563.1415890397814,2380.6724999999997,576.4951270639433,2355.0966666666673,555.8683726112185
105,685.4175,297.2009324853118,2246.851666666666,524.3567493950192,2411.1208333333334,570.0291230529124,2409.213333333333,583.2029264734722,2383.523333333333,560.6742940152012
106,690.945,299.3030855912522,2272.205833333333,529.3447062964053,2439.245000000001,575.7916159297564,2437.3416666666667,588.6179967021621,2411.6975,565.5051600369993
107,697.2108333333333,301.89930985737794,2298.839166666666,534.511098978543,2467.01,580.2101436572596,2464.843333333333,595.2178902254572,2440.126666666667,571.7274579533309
108,703.2766666666668,304.98202403311143,2324.3716666666664,539.9900901122578,2495.408333333334,586.0920585041797,2493.645833333333,602.2337091478919,2469.4841666666666,578.3143908935548
109,709.6175,308.66694538436843,2351.309166666666,545.6043573853827,2523.6458333333335,591.4441293498154,2522.9099999999994,607.8432801466546,2497.5883333333345,585.2322496975975
110,714.9491666666668,310.3397533674004,2379.103333333333,550.409553653257,2552.168333333333,596.4159723553316,2552.118333333334,612.6782786667077,2526.6525,591.4552167118779
111,721.8941666666668,313.08735704206157,2405.3533333333326,556.1298626345189,2582.0674999999997,603.0460023042514,2582.16,617.8533184183407,2555.4125,597.3088584463419
112,728.17,315.3146270261921,2431.4449999999997,559.555872709181,2612.566666666667,607.9062143835274,2611.009166666666,622.8111511129954,2585.2649999999994,603.7413226176515
113,735.1483333333331,317.4628929715863,2458.5924999999997,564.5493933396251,2642.385,612.3408518613907,2640.7958333333327,627.8544276967967,2613.9116666666673,608.3428793566084
114,741.9816666666666,321.2358413611408,2486.2508333333335,569.681917431049,2673.616666666667,618.0057558838392,2670.4475,632.440710594567,2642.7566666666667,613.6369823732197
115,749.2200000000001,323.8737818965901,2512.8783333333326,573.9936963600828,2702.515,623.3318719211925,2700.2408333333333,637.1561865522499,2672.9283333333337,618.5845627901025
116,755.085,326.6266790959095,2539.353333333333,578.3692887021999,2731.021666666666,628.8765162772419,2728.8575000000005,641.4976726645449,2701.655,623.8301086968045
117,760.4841666666669,330.1335476711155,2566.560833333334,582.6991197704436,2761.0000000000014,633.6857911260123,2756.8399999999992,646.3508101771564,2730.8658333333337,627.9585263248107
118,767.4249999999998,332.82134930853755,2592.9208333333336,585.9226522266919,2791.475833333334,638.134037104906,2785.0683333333336,650.9027303355956,2759.4083333333333,632.6472607995883
119,774.0883333333336,335.98622198520115,2618.8891666666664,590.9057799736349,2820.1749999999993,642.4027978245252,2814.2441666666664,656.3210307596132,2788.2375000000006,637.0904202379973
120,779.8758333333334,338.88109460993513,2645.136666666666,596.1205153508995,2849.2275,647.1757997472345,2842.5575,660.3589936379091,2816.79,641.7934300631491
121,786.98,342.02684787812274,2671.290833333333,600.2118390207696,2877.192499999999,651.3341525865925,2870.779166666666,664.0040481202947,2844.759166666666,646.3998265655924
122,792.8525,345.12721630038106,2696.685,603.1794409027694,2905.6141666666667,656.2218368988622,2897.0533333333333,667.9398927153217,2872.706666666665,650.7606567382
123,799.2374999999998,347.7286866671342,2721.5324999999993,607.7881092815388,2934.1000000000013,660.5963138941631,2924.055,671.9013183703225,2900.2183333333337,654.1610287740068
